0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/html/ex2/ex07_standard_extenrnal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/images/bg.png HTTP/1.1" 200 430767
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:15:56 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:16:18 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:16:48 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:17:20 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:19:46 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:21:19 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:21:30 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:22:01 +0900] "GET /web_html_01/html/ex2/html/ex11.html HTTP/1.1" 200 1076
